Date,Link,Message
2025-04-06 17:08:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7314599727675662336,Grazie Francesco! Abbiamo fatto veramente tanto
2024-04-14 14:15:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898,Barbara Lucini thank you for your nice words - we will keep doing our best!
2024-04-13 22:10:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898,Andrea Scribano grazie!
2024-04-13 09:57:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898,Andrea Toletti grazie! Hai fatto tanto per noi da quando siamo partiti negli early days in SPSS… :-)
2024-04-13 08:27:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898,Marco Di Dio Roccazzella thanks to your team and you for all your hard work
2024-04-12 21:59:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7184671398374608898,""
2024-02-02 18:19:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7159188446622760962,Grazie a voi per l’accoglienza e gli stimoli che ci avete dato - è vitale aver toccato con mano come rendere viva e utile l’innovazione tecnologica mettendola realmente al servizio dei clienti
2024-01-29 12:36:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7156671949014761472,Stefano in bocca al lupo!!
2023-12-09 13:19:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7139241274506723328,#datadriven #customerexperience
2023-12-09 12:58:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7136275616500264960,complimenti Marco Di Dio Roccazzella per il riuscitissimo lavoro e grazie per aver ospitato la case history del #dataoffice di Generali Italia
2023-10-13 13:35:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7118572664239120384,"Giulia, complimenti da parte mia e delle - spero tutte - future MPW: le 50 donne del #dataoffice di Generali Italia, in particolare le tue mentee e leader in erba Virginia Scarabattoli e Vanessa Perciballi. Track record come il tuo sono un role model assoluto per loro e per tutti in Generali Italia, nella Bocconi Alumni Community, e nella business community allargata."
2023-08-11 09:41:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7095334155667857408,Grazie Marco!! 🙏 Un abbraccio
2023-05-29 10:46:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7068900126500560896,""
2023-05-23 07:26:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7066668643710812160,Grazie Carmelina Furci !! E condivido in pieno il tuo pensiero. Un caro saluto
2023-02-16 15:12:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031551444147154945,Why remember When you may remake
2023-02-15 19:05:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031551444147154945,"Isabella, very mixed feelings as you tell us goodbye. As I am truly excited for your impressive achievement on your next step and proud of you for your heart in launching into it... I know we'll deeply miss your unique intersection of results, team collaboration and, most of all, ethical standards. On behalf of the entire Generali Italia leaders group, thank you. And good luck. Take care"
2022-11-21 14:53:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000461753553727490,Benvenuta e in bocca al lupo Maurizia!
2022-10-19 20:11:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6988502687751254016,"Grazie Elisa per l'organizzazione, fondamentale continuare a investire su questi temi! 👍"
2022-09-26 07:57:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980040050453417984,"Congratulazioni, Giulia!"
2022-04-04 05:30:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6916487107758710784,"I’m with you Thomas, that’s heartbreaking. Don’t give up looking for the truth"
2020-12-27 13:23:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6748947851646160896,Hats off Luca
2020-10-23 19:27:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6725458878051426304,"Top Francesco"
2020-10-04 08:46:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6717022210428686336,"Thank you Manu and good luck on your next move. Stay safe, all the best D"
2020-09-09 17:37:46,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709492918039719936,Super Andrea!!
2020-09-07 16:51:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6708770055292776448,Top Daniele!
2020-09-05 06:43:51,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6707885334601977856,Un orgoglio!
2020-09-04 17:22:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6707687183064555521,Bravissima Marta
2020-08-27 12:51:43,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6704718441108013056,Bravissima Valeria!!!
2020-08-08 05:27:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6697610031170392064,Super!!!
